"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
134,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",134,"Maléah","Sub-prefecture","Sub-prefecture",NA,NA
135,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",135,"Naboun","Sub-prefecture","Sub-prefecture",NA,NA
136,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",136,"Niagassola","Sub-prefecture","Sub-prefecture",NA,NA
137,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",137,"Niandankoro","Sub-prefecture","Sub-prefecture",NA,NA
138,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",138,"Norassoba","Sub-prefecture","Sub-prefecture",NA,NA
139,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",139,"Siguiri-Centre","Sub-prefecture","Sub-prefecture",NA,NA
140,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",140,"Siguirini","Sub-prefecture","Sub-prefecture",NA,NA
141,97,"GIN","Guinea",5,"Kindia",16,"Coyah",141,"Coyah-Centre","Sub-prefecture","Sub-prefecture",NA,NA
142,97,"GIN","Guinea",5,"Kindia",16,"Coyah",142,"Kouriah","Sub-prefecture","Sub-prefecture",NA,NA
143,97,"GIN","Guinea",5,"Kindia",16,"Coyah",143,"Unknown","Sub-prefecture","Sub-prefecture",NA,NA
144,97,"GIN","Guinea",5,"Kindia",16,"Coyah",144,"Wonkifong","Sub-prefecture","Sub-prefecture",NA,NA
145,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",145,"Badi","Sub-prefecture","Sub-prefecture",NA,NA
146,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",146,"Dubréka-Centre","Sub-prefecture","Sub-prefecture",NA,NA
147,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",147,"Faléssadé","Sub-prefecture","Sub-prefecture",NA,NA
148,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",148,"Khorira","Sub-prefecture","Sub-prefecture",NA,NA
149,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",149,"Ouassou","Sub-prefecture","Sub-prefecture",NA,NA
150,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",150,"Tanéné","Sub-prefecture","Sub-prefecture",NA,NA
151,97,"GIN","Guinea",5,"Kindia",17,"Dubréka",151,"Tondon","Sub-prefecture","Sub-prefecture",NA,NA
152,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",152,"Alassoya","Sub-prefecture","Sub-prefecture",NA,NA
153,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",153,"Benty","Sub-prefecture","Sub-prefecture",NA,NA
154,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",154,"Farmoriah","Sub-prefecture","Sub-prefecture",NA,NA
155,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",155,"Forécariah-Centre","Sub-prefecture","Sub-prefecture",NA,NA
156,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",156,"Kaback","Sub-prefecture","Sub-prefecture",NA,NA
157,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",157,"Kakossa","Sub-prefecture","Sub-prefecture",NA,NA
158,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",158,"Kallia","Sub-prefecture","Sub-prefecture",NA,NA
159,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",159,"Maférinya","Sub-prefecture","Sub-prefecture",NA,NA
160,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",160,"Moussayah","Sub-prefecture","Sub-prefecture",NA,NA
161,97,"GIN","Guinea",5,"Kindia",18,"Forécariah",161,"Sikhourou","Sub-prefecture","Sub-prefecture",NA,NA
162,97,"GIN","Guinea",5,"Kindia",19,"Kindia",162,"Bangouyah","Sub-prefecture","Sub-prefecture",NA,NA
163,97,"GIN","Guinea",5,"Kindia",19,"Kindia",163,"Damankanyah","Sub-prefecture","Sub-prefecture",NA,NA
164,97,"GIN","Guinea",5,"Kindia",19,"Kindia",164,"Friguiagbé","Sub-prefecture","Sub-prefecture",NA,NA
165,97,"GIN","Guinea",5,"Kindia",19,"Kindia",165,"Kindia-Centre","Sub-prefecture","Sub-prefecture",NA,NA
166,97,"GIN","Guinea",5,"Kindia",19,"Kindia",166,"Kolenté","Sub-prefecture","Sub-prefecture",NA,NA
167,97,"GIN","Guinea",5,"Kindia",19,"Kindia",167,"Madina-Oula","Sub-prefecture","Sub-prefecture",NA,NA
168,97,"GIN","Guinea",5,"Kindia",19,"Kindia",168,"Mambia","Sub-prefecture","Sub-prefecture",NA,NA
169,97,"GIN","Guinea",5,"Kindia",19,"Kindia",169,"Molota","Sub-prefecture","Sub-prefecture",NA,NA
170,97,"GIN","Guinea",5,"Kindia",19,"Kindia",170,"Samayah","Sub-prefecture","Sub-prefecture",NA,NA
171,97,"GIN","Guinea",5,"Kindia",19,"Kindia",171,"Souguéta","Sub-prefecture","Sub-prefecture",NA,NA
172,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",172,"Bourouwal","Sub-prefecture","Sub-prefecture",NA,NA
173,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",173,"Daramagnaky","Sub-prefecture","Sub-prefecture",NA,NA
174,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",174,"Gougoudjé","Sub-prefecture","Sub-prefecture",NA,NA
175,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",175,"Koba","Sub-prefecture","Sub-prefecture",NA,NA
176,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",176,"Kollet","Sub-prefecture","Sub-prefecture",NA,NA
177,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",177,"Konsotami","Sub-prefecture","Sub-prefecture",NA,NA
178,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",178,"Missira","Sub-prefecture","Sub-prefecture",NA,NA
179,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",179,"Santou","Sub-prefecture","Sub-prefecture",NA,NA
180,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",180,"Sarékaly","Sub-prefecture","Sub-prefecture",NA,NA
181,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",181,"Sinta","Sub-prefecture","Sub-prefecture",NA,NA
182,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",182,"Sogolon","Sub-prefecture","Sub-prefecture",NA,NA
183,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",183,"Télimélé-Centre","Sub-prefecture","Sub-prefecture",NA,NA
184,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",184,"Tarihoye","Sub-prefecture","Sub-prefecture",NA,NA
185,97,"GIN","Guinea",5,"Kindia",20,"Télimélé",185,"Thionthian","Sub-prefecture","Sub-prefecture",NA,NA
186,97,"GIN","Guinea",6,"Labé",21,"Koubia",186,"Fafaya","Sub-prefecture","Sub-prefecture",NA,NA
187,97,"GIN","Guinea",6,"Labé",21,"Koubia",187,"Gadha-Woundou","Sub-prefecture","Sub-prefecture",NA,NA
188,97,"GIN","Guinea",6,"Labé",21,"Koubia",188,"Koubia-Centre","Sub-prefecture","Sub-prefecture",NA,NA
189,97,"GIN","Guinea",6,"Labé",21,"Koubia",189,"Matakaou","Sub-prefecture","Sub-prefecture",NA,NA
190,97,"GIN","Guinea",6,"Labé",21,"Koubia",190,"Missira","Sub-prefecture","Sub-prefecture",NA,NA
191,97,"GIN","Guinea",6,"Labé",21,"Koubia",191,"Pilimini","Sub-prefecture","Sub-prefecture",NA,NA
192,97,"GIN","Guinea",6,"Labé",22,"Lélouma",192,"Balaya","Sub-prefecture","Sub-prefecture",NA,NA
193,97,"GIN","Guinea",6,"Labé",22,"Lélouma",193,"Diountou","Sub-prefecture","Sub-prefecture",NA,NA
194,97,"GIN","Guinea",6,"Labé",22,"Lélouma",194,"Hérico","Sub-prefecture","Sub-prefecture",NA,NA
195,97,"GIN","Guinea",6,"Labé",22,"Lélouma",195,"Korbé","Sub-prefecture","Sub-prefecture",NA,NA
196,97,"GIN","Guinea",6,"Labé",22,"Lélouma",196,"Lélouma-Centre","Sub-prefecture","Sub-prefecture",NA,NA
197,97,"GIN","Guinea",6,"Labé",22,"Lélouma",197,"Lafou","Sub-prefecture","Sub-prefecture",NA,NA
198,97,"GIN","Guinea",6,"Labé",22,"Lélouma",198,"Linsan-Saran","Sub-prefecture","Sub-prefecture",NA,NA
199,97,"GIN","Guinea",6,"Labé",22,"Lélouma",199,"Manda","Sub-prefecture","Sub-prefecture",NA,NA
200,97,"GIN","Guinea",6,"Labé",22,"Lélouma",200,"Parawol","Sub-prefecture","Sub-prefecture",NA,NA
201,97,"GIN","Guinea",6,"Labé",22,"Lélouma",201,"Sagalé","Sub-prefecture","Sub-prefecture",NA,NA
202,97,"GIN","Guinea",6,"Labé",22,"Lélouma",202,"Tyanguel-Bori","Sub-prefecture","Sub-prefecture",NA,NA
203,97,"GIN","Guinea",6,"Labé",23,"Labé",203,"Dalein","Sub-prefecture","Sub-prefecture",NA,NA
204,97,"GIN","Guinea",6,"Labé",23,"Labé",204,"Diari","Sub-prefecture","Sub-prefecture",NA,NA
205,97,"GIN","Guinea",6,"Labé",23,"Labé",205,"Dionfo","Sub-prefecture","Sub-prefecture",NA,NA
206,97,"GIN","Guinea",6,"Labé",23,"Labé",206,"Hafia","Sub-prefecture","Sub-prefecture",NA,NA
207,97,"GIN","Guinea",6,"Labé",23,"Labé",207,"Kaalan","Sub-prefecture","Sub-prefecture",NA,NA
208,97,"GIN","Guinea",6,"Labé",23,"Labé",208,"Noussy","Sub-prefecture","Sub-prefecture",NA,NA
209,97,"GIN","Guinea",6,"Labé",23,"Labé",209,"Popodara","Sub-prefecture","Sub-prefecture",NA,NA
210,97,"GIN","Guinea",6,"Labé",23,"Labé",210,"Sannou","Sub-prefecture","Sub-prefecture",NA,NA
